PETTORALE,SESSO,ANNO,TEMPO_UFFICIALE
438,M,2003,0:28:36
841,M,2007,0:29:11
456,M,2008,0:29:37
750,M,2009,0:31:00
840,M,2008,0:31:01
518,M,1989,0:31:32
574,M,2010,0:31:42
127,M,1998,0:31:49
478,M,2007,0:32:35
453,F,2009,0:32:40
109,M,2003,0:32:48
790,M,1967,0:33:15
444,F,2007,0:33:37
552,F,2008,0:34:11
192,M,2010,0:34:21
138,M,2008,0:34:39
751,M,2005,0:34:42
222,M,2007,0:34:48
218,F,2009,0:34:49
636,M,1998,0:34:53
137,F,2007,0:34:55
752,M,2002,0:34:56
541,M,2011,0:34:58
749,M,2012,0:34:58
679,M,2011,0:35:03
551,M,1990,0:35:06
822,M,2006,0:35:36
374,M,1973,0:35:38
522,M,1974,0:36:45
647,M,2001,0:37:11
105,F,2008,0:37:13
452,F,2007,0:37:16
295,M,2009,0:37:23
559,M,1994,0:37:52
477,F,2010,0:38:14
229,M,2011,0:38:15
147,M,2011,0:38:17
569,F,1993,0:38:27
403,F,1990,0:38:56
740,F,1995,0:38:57
244,M,1988,0:39:06
627,M,1971,0:39:09
3,M,2011,0:39:10
466,F,2011,0:39:10
487,F,2011,0:39:10
490,M,1960,0:39:13
69,F,1997,0:39:14
306,M,1971,0:39:16
246,F,1998,0:39:16
204,M,1998,0:39:18
166,M,2004,0:39:18
504,M,1972,0:39:19
449,M,1987,0:39:19
433,M,1969,0:39:25
432,F,2010,0:39:25
638,M,1979,0:39:29
368,F,2004,0:39:30
206,M,1990,0:39:32
431,F,2010,0:39:34
771,M,1991,0:39:35
628,M,1982,0:39:36
277,F,1998,0:39:39
779,M,1961,0:39:42
464,M,1993,0:39:46
327,M,1984,0:39:49
384,M,2002,0:40:23
721,F,2006,0:40:43
375,F,2002,0:40:57
28,M,2011,0:40:57
227,F,1999,0:41:00
170,F,1999,0:41:01
55,F,2010,0:41:02
616,M,1970,0:41:27
410,M,1972,0:41:30
441,M,1967,0:41:31
65,F,1982,0:41:31
319,M,1958,0:41:32
50,M,1984,0:41:39
235,M,2005,0:41:41
336,M,1967,0:41:42
587,F,1971,0:41:52
382,M,1996,0:41:52
165,M,1977,0:42:08
753,M,1960,0:42:12
330,M,1966,0:42:16
701,F,1979,0:42:19
727,M,1966,0:42:25
682,M,1991,0:42:31
519,M,1990,0:42:34
509,M,1969,0:42:46
328,F,1994,0:42:49
741,M,2011,0:42:51
689,M,2009,0:42:54
314,F,1990,0:42:56
11,M,1995,0:42:59
442,M,2002,0:42:59
625,M,1976,0:43:00
589,M,1968,0:43:17
208,M,1993,0:43:18
825,M,1959,0:43:25
606,M,2008,0:43:33
492,M,1967,0:43:40
473,M,2001,0:43:43
776,M,1996,0:43:50
209,M,1964,0:43:58
765,M,1979,0:44:02
847,M,1976,0:44:06
276,F,1978,0:44:17
816,M,2011,0:44:17
265,M,1971,0:44:18
369,F,2003,0:44:21
363,M,1971,0:44:24
34,M,1967,0:44:25
195,F,1983,0:44:31
103,M,1994,0:44:37
718,F,1998,0:44:47
523,M,1997,0:45:03
463,F,2004,0:45:11
273,M,1986,0:45:16
62,M,1996,0:45:18
396,M,2012,0:45:19
531,F,1968,0:45:28
212,M,1967,0:45:40
58,M,1991,0:45:43
291,F,2002,0:45:47
713,M,1975,0:45:53
619,F,2006,0:45:55
24,F,2007,0:45:56
264,M,2012,0:45:56
746,F,1991,0:45:58
471,M,1995,0:45:58
448,M,2011,0:46:16
418,M,1966,0:46:18
252,M,1965,0:46:25
84,M,2011,0:46:25
607,F,2002,0:46:35
565,M,1964,0:46:36
678,M,1988,0:46:40
282,M,1971,0:46:41
720,F,1993,0:46:47
250,F,2006,0:46:47
758,M,1984,0:46:51
404,F,2001,0:46:53
709,M,1980,0:46:55
113,M,1986,0:46:56
8,M,1973,0:47:00
261,M,1983,0:47:00
207,M,1988,0:47:06
472,M,1986,0:47:07
491,M,1991,0:47:12
476,M,1967,0:47:14
734,F,1978,0:47:15
80,M,2013,0:47:18
712,M,1967,0:47:24
54,M,1985,0:47:27
550,M,1995,0:47:28
784,M,1962,0:47:33
300,M,1979,0:47:34
499,F,1987,0:47:36
331,M,1987,0:47:39
699,F,1964,0:47:42
829,M,1968,0:47:43
329,F,1984,0:47:53
243,M,1984,0:47:55
792,M,1973,0:47:56
232,M,1974,0:47:58
162,F,2010,0:47:58
152,M,1963,0:48:03
537,M,1969,0:48:05
298,F,2011,0:48:05
173,M,1978,0:48:08
335,F,1985,0:48:11
215,M,1964,0:48:13
5,M,1972,0:48:14
821,F,1963,0:48:16
56,M,1969,0:48:16
516,M,1998,0:48:16
756,M,1992,0:48:19
839,F,1980,0:48:23
313,F,1992,0:48:23
536,F,2012,0:48:23
553,F,1964,0:48:35
793,M,1986,0:48:36
601,M,1967,0:48:37
233,F,1985,0:48:40
739,M,1995,0:48:42
588,F,1996,0:48:42
220,F,1965,0:48:43
428,M,1991,0:48:44
42,M,1958,0:48:54
22,F,1989,0:48:56
294,F,2006,0:48:56
190,F,1974,0:48:58
393,M,1975,0:49:06
189,M,2011,0:49:11
592,F,1988,0:49:12
186,F,1961,0:49:13
52,M,1986,0:49:16
370,F,1996,0:49:24
408,F,1995,0:49:28
219,F,1978,0:49:33
171,F,1999,0:49:33
376,M,1967,0:49:42
117,F,1974,0:49:43
503,M,1964,0:49:48
482,M,1974,0:49:48
292,M,1992,0:49:48
142,F,1992,0:49:53
489,M,1984,0:49:56
564,M,1986,0:49:57
